event_id,case_id,customer_id,created_date,assigned_date,first_response_date,resolved_date,team_name,root_cause,escalation_flag
E001,C001,1001,2024-04-01,2024-04-01 09:00:00,2024-04-01 09:15:00,2024-04-01 14:30:00,Billing,Payment Error,0
E002,C002,1002,2024-04-02,2024-04-02 10:00:00,2024-04-02 10:30:00,2024-04-02 15:00:00,Tech Support,Auth Issue,0
E003,C003,1003,2024-04-03,2024-04-03 14:00:00,2024-04-03 14:45:00,2024-04-04 10:00:00,Service Desk,Scheduling,1
E004,C004,1004,2024-04-04,2024-04-04 08:00:00,2024-04-04 08:10:00,2024-04-04 12:00:00,Billing,Charge Dispute,0
E005,C005,1005,2024-04-05,2024-04-05 16:00:00,2024-04-05 16:20:00,,Tech Support,Reset Issue,0
E006,C006,1006,2024-04-06,2024-04-06 11:00:00,2024-04-06 11:05:00,2024-04-06 13:30:00,Service Desk,Delivery Delay,0
E007,C007,1007,2024-04-07,2024-04-07 09:30:00,2024-04-07 09:45:00,2024-04-07 14:00:00,Billing,Card Decline,0
E008,C008,1008,2024-04-08,2024-04-08 07:00:00,2024-04-08 07:20:00,2024-04-08 11:45:00,Tech Support,Bug,0
E009,C009,1009,2024-04-09,2024-04-09 15:00:00,2024-04-09 15:30:00,2024-04-09 17:00:00,Service Desk,Cancel Request,0
E010,C010,1010,2024-04-10,2024-04-10 12:00:00,2024-04-10 12:15:00,,Billing,Invoice,0
